Size,Chest,Neck-to-Cuff,Back Hip Length,Cross Back,Sleeve Length,Upper Arm,Armhole depth,Waist,Hips,Back Hip Length
Small-1,86,81,63.5,39.5,45.5,30.5,21.5,71,89,63.5
Small-2,91.5,82.5,64.5,40.5,45.5,30.5,23,76,94,64.5
Medium-1,96.5,83.5,67.5,42,47,33,23,81.5,99,67.5
Medium-2,101.5,85,68,43,47,33,24,86.5,104,68
Large-1,106.5,86.5,68.5,44.5,49.5,38,24,91.5,109,68.5
Large-2,111.5,87.5,69,45.5,49.5,38,25.5,96.5,114,69
X-Large-1,116.5,89,69.5,45.5,50.5,40.5,25.5,106.5,119,69.5
X-Large-2,122,90,70.5,47,50.5,40.5,26,112,124.5,70.5
XX-Large-1,127,91.5,71,47,52,43,26.5,117,129,71
XX-Large-2,132,92.5,72.5,48,52,43,28,122,134,72.5